municipio,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,freq,share_tracado_via_tipo,share_is_night,share_is_weekend,share_is_single_lane
campo largo,7744,105,1470,401,5345,423,1871,6404,3392,0.818396226415094,0.408608490566038,0.480542452830189,0.130896226415094
pelotas,7149,122,1283,359,5184,201,1642,5987,3377,0.617411904056855,0.418714835652946,0.438554930411608,0.938406870002961
luziania,7854,294,2037,814,4200,509,2851,5833,3342,0.91083183722322,0.480251346499102,0.539198084979054,0.21573907839617
colombo,7470,131,1841,761,4240,497,2602,5995,3336,0.769484412470024,0.447242206235012,0.498501199040767,0.293465227817746
eunapolis,8029,151,1722,622,5204,330,2344,5853,3310,0.594864048338369,0.341389728096677,0.449244712990937,0.949546827794562
pouso alegre,6598,90,1657,521,4087,243,2178,5162,3299,0.619884813579873,0.446195816914216,0.466505001515611,0.214307365868445
santa rita,6719,214,1777,755,3597,376,2532,5099,3290,0.738601823708207,0.359878419452888,0.48145896656535,0.303039513677812
marituba,7679,100,1166,491,5527,395,1657,6813,3282,0.960694698354662,0.297684338817794,0.465874466788544,0.0411334552102377
morretes,6164,100,1291,367,4216,190,1658,5104,3273,0.47632141765964,0.364497402994195,0.498319584479071,0.0256645279560037
seropedica,6817,122,1178,457,4673,387,1635,5808,3261,0.875191659000307,0.428702851885925,0.450475314320761,0.502606562404171
jacarei,6756,71,891,181,5271,341,1072,6159,3228,0.925340768277571,0.402416356877323,0.425030978934325,0.109355638166047
nova lima,6878,137,1611,743,4149,238,2354,5510,3198,0.660100062539087,0.355847404627892,0.532833020637899,0.236710444027517
jatai,6524,133,1636,473,4034,247,2109,4901,3138,0.716061185468451,0.402804333970682,0.453473550031868,0.644996813256852
joao monlevade,6570,113,1870,616,3865,106,2486,4969,3138,0.353728489483748,0.376991714467814,0.478011472275335,0.989483747609943
bayeux,7562,35,1159,347,5619,402,1506,6743,3133,0.910309607405043,0.274178104053623,0.44047239067986,0.036386849664858
pouso redondo,6597,175,1828,538,3878,178,2366,5355,3092,0.503557567917206,0.330853816300129,0.492238033635188,0.98738680465718
tres lagoas,7173,99,1755,449,4642,228,2204,5049,3079,0.765508281909711,0.408574212406626,0.460863916856122,0.57940889899318
campina grande,6197,160,1452,612,3671,302,2064,5081,3068,0.633637548891786,0.366036505867014,0.479139504563233,0.651238591916558
itaguai,6917,193,1495,526,4400,303,2021,5349,3017,0.822340072920119,0.434869075240305,0.533311236327478,0.455419290686112
santo antonio do amparo,4751,88,1352,243,2986,81,1595,3657,2979,0.359852299429339,0.345417925478348,0.469956361195032,0.00604229607250755
laguna,6395,89,1485,414,4244,163,1899,5511,2971,0.790642881184786,0.396499495119488,0.50454392460451,0.613934702120498
cabedelo,6420,67,1262,473,4161,457,1735,5694,2941,0.914994899693982,0.38728323699422,0.47160829649779,0.104386263175791
sao mateus,6557,122,1521,675,3932,306,2196,5500,2923,0.767362299007869,0.354430379746835,0.468012316113582,0.762230585015395
sao sebastiao do passe,6070,107,1537,250,3860,316,1787,4783,2921,0.903115371448134,0.287572749058542,0.463539883601506,0.244094488188976
carmo da cachoeira,4564,53,1122,171,3131,87,1293,3729,2919,0.316546762589928,0.373072970195272,0.47242206235012,0.00411099691675231
ararangua,6216,109,1737,340,3850,180,2077,5197,2886,0.624393624393624,0.388426888426888,0.475398475398475,0.793139293139293
caceres,5584,181,1454,674,3130,145,2128,3990,2867,0.622253226369027,0.346006278339728,0.486571328915242,0.981513777467736
sete lagoas,5866,96,1702,462,3433,173,2164,4352,2852,0.676367461430575,0.353786816269285,0.490182328190743,0.128681626928471
pindamonhangaba,6456,97,1200,218,4513,428,1418,5479,2846,0.969430780042164,0.417779339423753,0.53583977512298,0.0375966268446943
itapema,6293,80,1567,286,4128,232,1853,5575,2844,0.813642756680731,0.405766526019691,0.515822784810127,0.227496483825598
teresopolis,5912,150,1886,611,3044,221,2497,4490,2836,0.494005641748942,0.401622002820874,0.501410437235543,0.977433004231312
sao goncalo do amarante,6318,109,1048,616,4188,357,1664,5491,2824,0.873583569405099,0.306303116147309,0.462818696883853,0.386331444759207
boa vista,7019,161,2091,560,3837,370,2651,4820,2805,0.760071301247772,0.381461675579323,0.491622103386809,0.455971479500891
registro,5267,106,1300,310,3293,258,1610,4210,2800,0.836428571428571,0.529285714285714,0.449642857142857,0.111428571428571
guarapuava,6276,211,1717,576,3576,196,2293,4793,2789,0.706346360702761,0.406597346719254,0.442811043384726,0.921118680530656
tres rios,5347,86,1134,275,3722,130,1409,3819,2786,0.345656855707107,0.376166547020818,0.500717875089734,0.545944005743001
mafra,6098,113,1641,545,3628,171,2186,4879,2782,0.530553558590942,0.383896477354421,0.49568655643422,0.985621854780733
vilhena,6220,103,1816,597,3526,178,2413,4812,2774,0.634462869502523,0.385724585436193,0.443403028118241,0.534607065609229
cambui,4558,76,1126,294,2901,161,1420,3627,2770,0.347292418772563,0.345126353790614,0.497111913357401,0.0187725631768953
navegantes,5924,119,1467,594,3530,214,2061,5163,2729,0.726273360205203,0.40820813484793,0.510076951264199,0.779406375961891
caratinga,5587,73,1630,609,3093,181,2239,4764,2726,0.611518708730741,0.374541452677916,0.450476889214967,0.689655172413793
simoes filho,6337,64,1064,186,4715,308,1250,5334,2723,0.939772309952259,0.261109070877708,0.419757620271759,0.0745501285347044
rio bonito,5734,150,995,438,3957,194,1433,4724,2708,0.749261447562777,0.410635155096012,0.493722304283604,0.339364844903988
sarandi,6268,86,1263,332,4359,228,1595,5164,2703,0.694413614502405,0.394006659267481,0.475767665556789,0.341472438031817
castanhal,6211,127,1010,572,4171,331,1582,5352,2698,0.883988139362491,0.316901408450704,0.452186805040771,0.182727946627131
