municipio;pessoas;mortos;feridos_leves;feridos_graves;ignorados;feridos;veiculos;freq;share_tracado_via_tipo_1;share_tracado_via_tipo_2;share_is_night;share_is_weekend;share_is_single_lane;cluster
ponte serrada;2363;86;1983;256;38;910;1778;1063;0.540921919096896;0.446848541862653;0.364063969896519;0.486359360301035;0.987770460959548;4
campo verde;2293;56;1972;221;44;664;1764;1062;0.803201506591337;0.186440677966102;0.338983050847458;0.469868173258004;0.932203389830508;5
rolandia;2414;35;1972;278;129;905;1939;1056;0.754734848484849;0.237689393939394;0.420454545454546;0.478219696969697;0.738636363636364;5
sao mateus do sul;2380;62;2036;193;89;744;1829;1054;0.793168880455408;0.193548387096774;0.490512333965844;0.499051233396584;0.94022770398482;5
aracruz;2329;89;1857;263;120;876;1797;1053;0.623931623931624;0.365622032288699;0.401709401709402;0.502374169040836;0.962013295346629;5
santo estevao;2493;102;1965;255;171;741;1928;1052;0.938212927756654;0.0446768060836502;0.433460076045627;0.487642585551331;0.845057034220532;5
itabela;2493;134;2025;244;90;797;1560;1046;0.364244741873805;0.604206500956023;0.369024856596558;0.495219885277247;0.959847036328872;4
dois irmaos;2132;25;1851;167;89;742;1769;1041;0.439961575408261;0.553314121037464;0.379442843419789;0.566762728146014;0.776176753121998;4
irati;2260;63;1862;245;90;897;1714;1037;0.749276759884282;0.225650916104147;0.442622950819672;0.499517839922854;0.924783027965285;5
sao cristovao;2342;69;1990;161;122;617;1798;1037;0.812921890067502;0.164898746383799;0.364513018322083;0.457087753134041;0.603664416586307;2
camaqua;2044;54;1732;186;72;611;1632;1036;0.780888030888031;0.217181467181467;0.452702702702703;0.45945945945946;0.983590733590734;5
para de minas;2096;51;1784;209;52;851;1605;1028;0.728599221789883;0.256809338521401;0.398832684824903;0.509727626459144;0.339494163424125;2
paranaiba;2179;79;1766;269;65;788;1549;1027;0.755598831548199;0.2317429406037;0.432327166504382;0.456669912366115;0.783836416747809;2
capao do leao;2123;50;1819;170;84;672;1688;1026;0.718323586744639;0.272904483430799;0.440545808966862;0.46588693957115;0.990253411306043;5
jaguaquara;2718;125;2307;185;101;637;1735;1023;0.704789833822092;0.289345063538612;0.379276637341154;0.486803519061584;0.941348973607038;5
alto garcas;2002;45;1823;105;29;472;1687;1021;0.809010773751224;0.167482859941234;0.29382957884427;0.444662095984329;0.991185112634672;5
porangatu;2439;116;1987;263;73;924;1623;1017;0.897738446411013;0.0875122910521141;0.368731563421829;0.501474926253687;0.987217305801377;5
joacaba;2240;46;1985;154;55;715;1741;1015;0.412807881773399;0.556650246305419;0.344827586206897;0.43448275862069;0.975369458128079;4
anchieta;2014;93;1666;186;69;683;1612;1008;0.481150793650794;0.511904761904762;0.353174603174603;0.456349206349206;0.95734126984127;4
lavrinhas;1794;20;1655;68;51;379;1485;1007;0.550148957298908;0.437934458788481;0.478649453823237;0.459781529294935;0.0297914597815293;2
presidente medici;2311;103;1892;268;48;907;1678;1005;0.850746268656716;0.138308457711443;0.385074626865672;0.46865671641791;0.969154228855721;5
ponta pora;2592;66;2179;269;78;885;1508;1004;0.871513944223108;0.128486055776892;0.343625498007968;0.538844621513944;0.895418326693227;5
pouso alto;2017;33;1829;116;39;696;1557;1004;0.321713147410359;0.658366533864542;0.327689243027888;0.50398406374502;0.999003984063745;4
santa isabel do para;2032;53;1664;197;118;632;1667;1004;0.76394422310757;0.23605577689243;0.343625498007968;0.48406374501992;0.0408366533864542;2
ouro preto do oeste;2404;84;1987;258;75;854;1811;1003;0.805583250249252;0.177467597208375;0.356929212362911;0.487537387836491;0.996011964107677;5
tiangua;2304;113;1670;367;154;927;1583;999;0.51951951951952;0.443443443443443;0.431431431431431;0.522522522522523;0.974974974974975;4
porto real;1958;38;1769;62;89;318;1779;998;0.874749498997996;0.120240480961924;0.392785571142285;0.443887775551102;0.137274549098196;2
santa terezinha de itaipu;2307;45;1996;181;85;752;1633;995;0.927638190954774;0.0552763819095477;0.495477386934673;0.493467336683417;0.0201005025125628;2
marilia;1894;22;1734;69;69;556;1563;994;0.780684104627767;0.210261569416499;0.432595573440644;0.459758551307847;0.862173038229376;5
montenegro;1868;41;1635;146;45;569;1484;989;0.561172901921132;0.422649140546006;0.385237613751264;0.450960566228514;0.358948432760364;2
nobres;2024;52;1850;89;33;451;1673;987;0.716312056737589;0.267477203647416;0.319148936170213;0.433637284701114;0.753799392097264;5
