pessoas;mortos;feridos_leves;feridos_graves;ilesos;feridos;freq;share_tracado_via_tipo_1;share_is_night;share_is_weekend;share_is_single_lane
6337;64;1064;186;4715;1250;2723;0.939772309952259;0.261109070877708;0.419757620271759;0.0745501285347044
5734;150;995;438;3957;1433;2708;0.749261447562777;0.410635155096012;0.493722304283604;0.339364844903988
6268;86;1263;332;4359;1595;2703;0.694413614502405;0.394006659267481;0.475767665556789;0.341472438031817
6211;127;1010;572;4171;1582;2698;0.883988139362491;0.316901408450704;0.452186805040771;0.182727946627131
6113;81;1802;559;3367;2361;2685;0.639851024208566;0.44171322160149;0.475977653631285;0.694227188081937
5537;162;1726;507;3005;2233;2666;0.402475618904726;0.364591147786947;0.466616654163541;0.989497374343586
6047;269;1584;827;3184;2411;2662;0.787753568745304;0.379789631855748;0.524417731029301;0.898948159278738
6132;98;1591;654;3604;2245;2646;0.67384731670446;0.427437641723356;0.515873015873016;0.45427059712774
5795;118;968;430;3889;1398;2638;0.890447308567096;0.462850644427597;0.48483699772555;0.0356330553449583
6170;98;988;444;4492;1432;2627;0.871336124857252;0.386372287780739;0.486105824133993;0.614389036924248
5814;52;589;268;4623;857;2621;0.917588706600534;0.227012590614269;0.412438000763068;0.19381915299504
5601;115;1200;393;3656;1593;2609;0.660789574549636;0.366807205825987;0.501724798773476;0.683786891529322
5595;191;1645;699;2933;2344;2576;0.256987577639752;0.316770186335404;0.463121118012422;0.988354037267081
5690;150;1525;535;3304;2060;2552;0.68730407523511;0.379310344827586;0.508620689655172;0.940047021943574
4804;104;1373;470;2698;1843;2501;0.762894842063175;0.445421831267493;0.497800879648141;0.409436225509796
5324;103;1388;227;3349;1615;2499;0.910764305722289;0.314125650260104;0.440176070428171;0.0600240096038415
5731;174;1831;676;2901;2507;2499;0.666666666666667;0.403761504601841;0.500600240096039;0.941176470588235
5139;79;985;226;3587;1211;2493;0.880064179703169;0.326915363016446;0.474528680304854;0.0296831127156037
4718;166;868;384;3073;1252;2488;0.738745980707396;0.478697749196142;0.481511254019293;0.119372990353698
6043;164;1467;487;3754;1954;2485;0.619315895372233;0.400402414486922;0.472837022132797;0.993561368209255
5286;39;358;124;4584;482;2477;0.633831247476786;0.424707307226484;0.382317319337909;0.288251917642309
5079;134;1199;365;3243;1564;2445;0.483844580777096;0.379959100204499;0.507566462167689;0.966053169734151
5596;77;1003;203;3908;1206;2441;0.980335927898402;0.451863990167964;0.498156493240475;0.0434248258910283
3742;35;959;123;2556;1082;2421;0.299049979347377;0.361420900454358;0.477075588599752;0.0161090458488228
5260;65;1683;509;2833;2192;2411;0.890087100788055;0.314807133969307;0.436748237245956;0.990045624222314
5263;67;800;174;4093;974;2403;0.810653349979193;0.390345401581357;0.433624635871827;0.176029962546816
4957;109;880;475;3407;1355;2375;0.808;0.321684210526316;0.427368421052632;0.733473684210526
4328;120;1146;425;2515;1571;2375;0.513263157894737;0.372631578947368;0.541473684210526;0.352421052631579
5148;57;973;225;3735;1198;2373;0.563843236409608;0.375895490939739;0.497682258744206;0.214496418036241
4861;83;1295;604;2698;1899;2373;0.293299620733249;0.270965023177413;0.52928782132322;0.939738727349347
4121;53;1039;172;2782;1211;2368;0.382179054054054;0.372888513513514;0.491131756756757;0.027027027027027
4571;93;1132;370;2893;1502;2357;0.634705133644463;0.420025456088248;0.455239711497667;0.534577853203225
5450;135;1466;541;3081;2007;2320;0.758620689655172;0.398706896551724;0.491810344827586;0.677586206896552
5671;154;1691;537;3178;2228;2309;0.419662191424859;0.329146816803811;0.552620181896925;0.836725855348636
5230;47;1690;389;2919;2079;2303;0.655232305688233;0.400781589231437;0.515414676508901;0.96699956578376
4811;42;699;146;3833;845;2300;0.785217391304348;0.398260869565217;0.38;0.0943478260869565
4748;82;1064;372;3105;1436;2288;0.817744755244755;0.453671328671329;0.554195804195804;0.232517482517483
4065;92;1237;207;2453;1444;2286;0.437882764654418;0.383639545056868;0.443132108486439;0.0284339457567804
5166;149;816;337;3732;1153;2284;0.760945709281962;0.340192644483363;0.44877408056042;0.886164623467601
5515;285;1494;789;2487;2283;2283;0.768287341217696;0.441524310118265;0.500219010074464;0.971090670170828
4734;90;804;368;3211;1172;2283;0.821725799386772;0.441524310118265;0.474375821287779;0.0569426193604906
3996;82;1303;318;2189;1621;2276;0.365553602811951;0.358523725834798;0.49780316344464;0.159050966608084
4481;80;1083;275;2826;1358;2244;0.648841354723708;0.422905525846702;0.515151515151515;0.122994652406417
4125;89;1222;412;2287;1634;2228;0.533662477558348;0.412028725314183;0.488779174147217;0.497755834829443
4204;47;1039;204;2832;1243;2212;0.909132007233273;0.405063291139241;0.533905967450271;0.0135623869801085
4956;111;882;515;3200;1397;2211;0.775667118950701;0.344640434192673;0.4880144730891;0.747625508819539
4189;64;850;152;2988;1002;2185;0.816018306636156;0.42929061784897;0.500228832951945;0.0366132723112128
3813;76;920;251;2413;1171;2148;0.374301675977654;0.383147113594041;0.482774674115456;0.0526070763500931
4010;56;549;155;3083;704;2148;0.795623836126629;0.475791433891993;0.465083798882682;0.185754189944134
4446;100;876;328;2988;1204;2127;0.622472966619652;0.414668547249647;0.466384579219558;0.942642219087917
4620;50;916;291;3182;1207;2124;0.576741996233522;0.380885122410546;0.433145009416196;0.905838041431262
4508;30;548;114;3680;662;2117;0.845536136041568;0.314123760037789;0.421350968351441;0.0358998582900331
5232;107;1471;361;3100;1832;2115;0.694562647754137;0.373522458628842;0.459101654846336;0.930496453900709
4443;103;962;457;2699;1419;2109;0.74063537221432;0.376955903271693;0.512091038406828;0.366998577524893
4849;76;1089;363;3069;1452;2097;0.850262279446829;0.467811158798283;0.508345255126371;0.381497377205532
4845;250;1306;643;2407;1949;2095;0.77708830548926;0.440572792362769;0.514081145584726;0.839618138424821
4994;139;1341;543;2591;1884;2093;0.797897754419494;0.462494027711419;0.544194935499283;0.322981366459627
5645;165;1170;392;3707;1562;2083;0.761401824291887;0.368218915026404;0.452712433989438;0.958713394143063
5422;197;1118;408;3512;1526;2083;0.639942390782525;0.367738838214114;0.498799807969275;0.943350936149784
4584;192;1147;392;2685;1539;2064;0.586240310077519;0.360949612403101;0.464631782945736;0.97141472868217
3905;71;905;197;2661;1102;2059;0.494414764448762;0.428363283147159;0.47013113161729;0.0276833414278776
5653;244;1479;334;3354;1813;2046;0.736559139784946;0.383675464320626;0.510263929618768;0.956989247311828
5044;142;955;497;3262;1452;2042;0.732125367286974;0.387855044074437;0.452497551420176;0.969147894221352
4263;130;1014;551;2472;1565;2037;0.436426116838488;0.31566028473245;0.455081001472754;0.780559646539028
4488;43;1179;365;2805;1544;2022;0.704253214638971;0.364985163204748;0.495054401582592;0.995548961424332
4826;109;1326;458;2780;1784;2013;0.73224043715847;0.30153999006458;0.466964729259811;0.931445603576751
4594;75;1088;312;2963;1400;2012;0.743041749502982;0.426938369781312;0.432405566600398;0.948807157057654
4354;176;921;662;2281;1583;2010;0.800497512437811;0.416915422885572;0.478109452736318;0.727363184079602
3813;70;742;142;2777;884;2009;0.9258337481334;0.411149825783972;0.471876555500249;0.0607267297162768
4239;127;743;332;2951;1075;2005;0.712219451371571;0.31571072319202;0.459351620947631;0.717705735660848
4358;104;1007;287;2817;1294;1997;0.816224336504757;0.352528793189785;0.485728592889334;0.736604907361042
4222;55;771;209;3066;980;1994;0.5320962888666;0.37111334002006;0.412738214643932;0.77432296890672
4688;89;1278;410;2757;1688;1987;0.685958731756417;0.373930548565677;0.536990437845999;0.989934574735783
3412;88;1088;231;1919;1319;1979;0.192521475492673;0.306720565942395;0.466397170288024;0.792319353208691
4147;93;1191;360;2357;1551;1975;0.79746835443038;0.385822784810127;0.466835443037975;0.990379746835443
4294;101;1044;505;2471;1549;1949;0.793227296049256;0.441251924063622;0.45767060030785;0.689584402257568
4431;109;951;646;2649;1597;1948;0.274127310061602;0.31006160164271;0.473819301848049;0.952258726899384
4356;112;709;516;2744;1225;1934;0.793174767321613;0.28335056876939;0.418821096173733;0.857807652533609
3578;110;943;397;1906;1340;1931;0.622993267736924;0.364577938891766;0.503883997928535;0.0766442257897463
3383;55;1073;226;1933;1299;1929;0.543805080352514;0.416796267496112;0.463452566096423;0.00725764644893727
4048;74;665;115;2907;780;1927;0.89724961079398;0.456668396471199;0.474312402698495;0.0612350804359107
4404;174;860;321;2924;1181;1925;0.862337662337662;0.425974025974026;0.481038961038961;0.952207792207792
4347;126;1047;591;2366;1638;1907;0.733613004719455;0.42999475616151;0.508127949659151;0.43418982695333
3870;70;866;176;2576;1042;1901;0.734876380852183;0.483955812730142;0.478169384534456;0.0494476591267754
3601;93;1229;297;1907;1526;1898;0.555848261327713;0.432033719704953;0.460484720758693;0.151738672286618
3584;61;1092;230;2113;1322;1891;0.576414595452142;0.429402432575357;0.47065044949762;0.0454785827604442
4419;226;933;440;2652;1373;1871;0.811865312667023;0.413148049171566;0.464991982896847;0.889898450026724
4206;134;973;305;2675;1278;1857;0.764135702746365;0.358642972536349;0.464189553042542;0.907915993537964
4038;147;1062;344;2391;1406;1852;0.488120950323974;0.341252699784017;0.470842332613391;0.982181425485961
4166;89;1005;313;2623;1318;1841;0.764801738185769;0.36664856056491;0.580119500271592;0.998370450841934
3636;85;533;247;2703;780;1834;0.611232279171211;0.280806979280262;0.459105779716467;0.73391494002181
4032;91;1208;374;2228;1582;1833;0.730496453900709;0.4189852700491;0.47354064375341;0.846699399890889
3346;80;785;207;2166;992;1827;0.250136836343733;0.32183908045977;0.47400109469075;0.00821018062397373
3126;44;910;195;1904;1105;1824;0.402960526315789;0.37280701754386;0.494517543859649;0.0202850877192982
3874;93;1158;431;2132;1589;1822;0.278814489571899;0.312843029637761;0.486278814489572;0.82821075740944
3226;62;812;158;2120;970;1817;0.571821684094662;0.451843698403963;0.47220693450743;0.0341221794166208
3081;43;829;205;1895;1034;1811;0.287686361126449;0.386526780784097;0.499723909442297;0.0143567090005522
3753;135;934;293;2313;1227;1809;0.686014372581537;0.46987285793256;0.497512437810945;0.930901050304035
3927;124;1176;506;1989;1682;1808;0.78429203539823;0.446902654867257;0.530973451327434;0.76603982300885
4808;231;1301;435;2639;1736;1775;0.79830985915493;0.408450704225352;0.52169014084507;0.890704225352113
4035;83;1109;420;2215;1529;1771;0.836250705815923;0.485036702428007;0.478260869565217;0.482213438735178
3704;67;1091;285;2176;1376;1766;0.562853907134768;0.417893544733862;0.460928652321631;0.780294450736127
3371;41;776;177;2300;953;1746;0.580756013745705;0.358533791523482;0.492554410080183;0.0601374570446735
3217;62;873;233;1947;1106;1742;0.839265212399541;0.419058553386912;0.5;0.148679678530425
3163;68;750;168;2098;918;1738;0.624280782508631;0.416570771001151;0.48331415420023;0.0138089758342923
3302;103;624;211;2155;835;1727;0.65836711059641;0.459177764910249;0.482339316734221;0.0301100173711639
3740;112;1204;367;1997;1571;1726;0.205677867902665;0.310544611819235;0.483198146002318;0.986095017381228
3959;77;1021;325;2361;1346;1724;0.850348027842227;0.459976798143852;0.537122969837587;0.571925754060325
3802;172;1048;347;2029;1395;1723;0.673244341265235;0.415554265815438;0.486941381311666;0.986070806732443
3396;135;774;262;2155;1036;1719;0.743455497382199;0.328679464805119;0.447353112274578;0.937754508435137
3534;60;847;482;2038;1329;1713;0.412726211325161;0.292469352014011;0.504378283712785;0.967892586106246
3722;99;998;493;1912;1491;1710;0.747368421052632;0.441520467836257;0.509356725146199;0.577777777777778
3711;79;956;253;2337;1209;1704;0.480633802816901;0.344483568075117;0.511150234741784;0.984154929577465
3720;57;804;271;2475;1075;1704;0.800469483568075;0.424882629107981;0.457159624413146;0.559272300469484
3527;127;864;216;2246;1080;1701;0.885361552028219;0.353909465020576;0.428571428571429;0.917695473251029
3413;114;924;368;1902;1292;1701;0.393885949441505;0.348030570252793;0.442680776014109;0.925925925925926
3140;58;527;106;2294;633;1697;0.748379493223335;0.430170889805539;0.431938715380083;0.129051266941662
3731;59;816;245;2531;1061;1696;0.59375;0.330778301886792;0.47877358490566;0.772405660377359
3785;77;773;308;2417;1081;1681;0.889351576442594;0.336704342653183;0.502676977989292;0.0481856038072576
4682;111;854;362;3251;1216;1658;0.723763570566948;0.414957780458384;0.45416164053076;0.926417370325694
3341;100;808;366;1855;1174;1657;0.452625226312613;0.372359686179843;0.458660229330115;0.992154496077248
3271;117;902;520;1637;1422;1656;0.598429951690821;0.385265700483092;0.532608695652174;0.256642512077295
