municipio;mortos;feridos_leves;feridos_graves;freq;share_tracado_via_tipo_1;share_is_night;share_is_weekend;share_is_single_lane;cluster
tijucas do sul;0.990892182878273;1.94908875959655;0.747223815355757;2.20155919214944;-1.40856136083885;-0.267871277965246;0.140617701048942;-2.30257669960422;2
sabara;3.30949652798497;2.27449766671467;4.61529258800325;2.18749370146948;-0.803116763102418;-0.438638764138241;0.123392284424986;0.477362676220458;1
maraba;4.29314685621206;2.2858288697304;2.404398490352;2.18355536407909;0.564542350726447;-0.484962183368297;-0.374465203711371;-0.517771431563087;1
volta redonda;-0.0103233297814375;2.32853878878965;0.783076152074426;2.1813048855703;0.228316413152898;0.0108689286918713;-0.240241614650037;-0.671654368328611;2
manhuacu;3.41488763458073;1.92904124656874;2.88242964660092;2.12110458546008;-0.729861614053439;-0.172182146181262;0.118453504117584;0.555676157195664;1
sao joao de meriti;0.95576181401302;2.36311348517095;0.380733262231587;2.11491576956089;1.15018206893299;0.0844831573932514;-0.125823862054693;-2.37517314059125;2
indaial;1.39489142482868;2.13794214319189;2.91828198331959;2.08734740782818;0.129517635576915;0.17192255802295;0.154030427536998;0.527285174201775;2
mairipora;1.65836919131808;1.90521666586902;0.775108966136944;2.05752856758666;-0.610238833244693;-0.203082829003879;-0.0441236015229917;-2.49942360176401;2
florianopolis;0.340980358871092;2.25851776502584;1.14159951926111;2.04008735914351;0.638140963680439;-0.610091427771535;-0.636456261922002;-2.48802046753635;2
valparaiso de goias;0.60445812536049;2.36137022316853;1.79490876613463;2.03896211988912;1.11364996026289;0.106216277896344;0.121770275080992;-2.45706142093518;2
governador valadares;2.81767136387143;1.94356842992223;3.40826391847473;2.03221068436274;-0.194992716353994;-0.104509184201641;-0.00651680019564214;0.0692945216030515;1
atibaia;2.92306247046719;1.96448757395125;1.30891042394824;2.02264615070036;0.629894631996469;0.150542583458586;0.175573548127063;-2.48152118009235;2
campo grande;4.50392906940357;1.97058899095971;3.85044273800498;1.94838035991018;0.361209948744146;0.00405384062287494;-0.0825955877521418;0.368843525485999;1
londrina;0.622023309793117;2.28699104439867;2.01400637941539;1.85836121955845;0.660815548875821;-0.0597781304101985;-0.264954481897376;-2.47001257745749;2
imperatriz;2.51906322851678;1.90870318987385;3.47200140597459;1.82291618304495;0.789958848009231;-0.292754694586237;-0.133534904145279;0.278106479002545;1
paranagua;1.79889066677909;1.58126047708624;1.7232040926973;1.81728998677297;0.340759752090756;0.093900580347842;-0.231359334390148;-1.61411957720189;2
mage;1.55297808472232;1.684403478896;1.10574718254245;1.80153663721141;0.631899379795071;-0.288326696305769;0.0403637650996545;-1.48158796814167;2
lages;1.35976105596343;1.8505944564599;1.46825414269787;1.79365996243063;-0.659474900195218;-0.186632648233475;0.032215793435015;0.488180267242297;2
taubate;0.885501076282514;1.85872967913786;0.583896503637377;1.77340565585149;1.1463463401985;-0.0399131848447936;0.224714942613314;-2.45500002774719;2
rio do sul;1.07871810504141;1.80410746972874;1.18541904191726;1.75934016517153;-0.114768030927256;-0.318107904164983;-0.336337808485218;0.450425845904003;2
vacaria;0.990892182878273;1.66580868420354;0.982255800511474;1.7385232389652;-0.810425019895185;-0.157752510544232;-0.170855215521317;0.477927982446882;2
ribeirao das neves;1.35976105596343;1.77214766635107;2.74698748566373;1.70476606133329;0.621843266850207;-0.208387446378081;0.287131691457217;-2.55548191570801;2
juiz de fora;2.60688915067991;1.37177849312895;2.18530087707125;1.68563699400855;-0.974581607012765;0.0268316393252864;0.0767013766831636;-0.823766759984409;2
rondonopolis;2.22045509316213;1.68207912955945;1.54792600207269;1.66369482854781;0.621507410140166;-0.276349370070885;-0.121648469810582;-0.581516947777037;2
tubarao;0.65715367865837;1.58823352509592;1.06591125285504;1.66088173041182;-0.228658865501205;-0.185089588148733;-0.165018086320409;-0.791017557706374;2
resende;1.57054326915495;1.48305671761667;0.647633991137232;1.64344052196867;0.303909347254935;0.246621491100011;-0.220584248797926;-1.68747476067312;2
muriae;1.76376029791384;1.55772644005359;1.8108431380096;1.62993765091591;-1.33483781566508;-0.282885551832513;-0.162402948402453;0.529100191328622;2
cabo de santo agostinho;2.62445433511254;1.40983971351509;1.77499080129093;1.59618047328401;0.344801014852083;-0.464295479294351;-0.24241319934277;-1.38358915553147;2
ji-parana;0.938196629580393;1.67801151822047;2.35261178175837;1.58492808074005;0.221707066957987;-0.420544580627076;-0.31023202467828;-0.366647681873163;2
rio grande;1.79889066677909;1.45806996224867;1.04599328801133;1.5663616330425;0.462992640009618;0.131329620915669;-0.203740464045463;-0.335343782890998;2
rio branco;1.3421958715308;1.67888314922168;2.73902029972625;1.55904757788892;0.214020424002433;-0.204584637560749;-0.104594876246577;-0.993542946781301;2
guaramirim;0.340980358871092;1.61322028046392;2.16936650519629;1.55735971900733;0.208439539136734;0.115215468613834;-0.12185073963177;0.541017333207674;2
belo horizonte;0.393675912168972;1.62745692015033;1.61963067551003;1.54666994609056;0.190949357853984;-0.679830025990247;-0.394183968678712;-1.80863070006997;2
nossa senhora do socorro;1.44758697812656;1.4952595516336;1.25314012238586;1.533729694665;0.509033330364505;-0.218403490151545;-0.25976244690479;-1.88844792861241;2
teofilo otoni;2.78254099500618;1.40722482051146;2.11359620363391;1.52697825913862;-0.0948981909919798;-0.268195197850099;-0.117600702118064;0.156995451822799;2
taboao da serra;0.850370707417261;1.64808552051229;1.57182755988514;1.52022682361223;0.867054289495014;0.295925496075798;-0.0804616529998285;-2.45323353426751;2
igarassu;1.9394121422401;1.47346877660336;1.54394240910395;1.51009967032266;0.79892515777295;-0.401664288470653;-0.113321566295597;-1.85524120612742;2
rio verde;1.88671658894222;1.43918462388913;1.77100720832219;1.48984536374352;0.17743648634212;-0.286931570167691;-0.17085043073194;-0.697658667025107;2
campo largo;1.14897884277191;1.56499003173034;1.07387843879252;1.47634249269076;0.510785338930728;-0.00470119933095878;-0.0115845747128496;-2.1746004484707;2
pelotas;1.44758697812656;1.46388083559006;0.906567534105396;1.46790319828279;-0.322536629774788;0.0474571101572607;-0.232223388198404;0.375111852218702;2
luziania;4.46879870053832;1.39705579216402;2.71910233488254;1.44821151133085;0.894042223215597;0.365043769818905;0.296642925651485;-1.90670941193827;1
colombo;1.6056736380202;1.35173098010114;2.50797190753927;1.44483579356766;0.307986988236422;0.194685352504936;0.0827862342167247;-1.66128934120722;2
eunapolis;1.95697732667273;1.59724037877508;1.95425248488427;1.4302076832605;-0.416024635689625;-0.351613657409777;-0.176050010755253;0.410286233678499;2
pouso alegre;0.885501076282514;1.25381776429863;1.55190959504143;1.42401886736132;-0.312283442819842;0.189284992872457;-0.0853495035298712;-1.91123003971201;2
santa rita;3.0635839459282;1.14631660748282;2.48407034972682;1.41895529071653;0.179941480190032;-0.256194504640232;-0.00676841763996537;-1.63105856391459;2
marituba;1.06115292060878;1.52954370434783;1.43240180597921;1.41445433369894;1.100783809404;-0.577174847009778;-0.0886628791716769;-2.45802611437659;2
morretes;1.06115292060878;1.1849589152031;0.938436277855324;1.40939075705416;-0.907526545956308;-0.232356176243889;0.0818318739902548;-2.50686920320988;2
seropedica;1.44758697812656;1.28490593667509;1.29695964504201;1.40263932152778;0.746270779486788;0.0990047307236652;-0.169583365389059;-1.00092623935594;2
jacarei;0.551762572062611;1.37526501713379;0.197487985669502;1.38407287383023;0.954199208835966;-0.0366584719701852;-0.303289944063187;-2.24261478767328;2
nova lima;1.71106474461596;1.25846646297175;2.43626723410193;1.36719428501428;-0.145542823245836;-0.276998357762772;0.263195364016599;-1.84049239134902;2
jatai;1.64080400688545;1.23231753293547;1.36069713254187;1.33343710738238;0.0864833994132039;-0.0346561428258963;-0.153828037812123;-0.551329473071551;2
joao monlevade;1.28950031823292;1.251202871295;1.93035092707183;1.33343710738238;-1.41582181525008;-0.167873699237692;-0.0248845389501027;0.536386931562171;2
bayeux;-0.0805840675119435;1.55423991604876;0.858764418480504;1.33062400924639;0.891876951939242;-0.698489274450083;-0.222147390994397;-2.4730135063592;2
pouso redondo;2.37854175305577;1.24277710494998;1.61963067551003;1.30755660453126;-0.794599915230657;-0.405988937839971;0.0498741378568979;0.529765840827381;2
tres lagoas;1.04358773617615;1.44354277889518;1.26509090129208;1.30024254937768;0.291501140447537;-0.00487810708860232;-0.114992648787006;-0.758423104719081;2
campina grande;2.11506398656637;1.07339014704831;1.91441655519686;1.2940537334785;-0.25526179888892;-0.224412948174357;-0.0189568801781942;-0.531621076713923;2
itaguai;2.69471507284304;1.29768985802616;1.57182755988514;1.26536013249138;0.527137330445678;0.130828281505428;0.265708323492679;-1.14991990041895;2
santo antonio do amparo;0.850370707417261;0.845313368398556;0.444470749731442;1.24398058665784;-1.39043125095153;-0.330824344962392;-0.0672130701154924;-2.56882633826142;2
laguna;0.867935891849887;1.24945960929258;1.12566514738615;1.23947962964026;0.395714312424187;-0.0671950808144601;0.114539948696745;-0.649407990647307;2
cabedelo;0.481501834332105;1.16055324716924;1.36069713254187;1.22260104082431;0.911303128808999;-0.114759698832873;-0.0585323710849124;-2.25830557347283;2
sao mateus;1.44758697812656;1.16926955718133;2.16538291222755;1.21247388753474;0.299188273255323;-0.28431154780953;-0.0774287669565074;-0.181164209885834;2
sao sebastiao do passe;1.18410921163716;1.15299911182543;0.472355900512629;1.21134864828034;0.862048183204447;-0.629360223973027;-0.10093080151385;-1.81717729528582;2
carmo da cachoeira;0.235589252275333;0.820617156697627;0.157652055982092;1.21022340902594;-1.56998483399441;-0.188098130010119;-0.0542561403913457;-2.57492440923156;2
ararangua;1.21923958050242;1.20820240856868;0.830879267699317;1.1916569613284;-0.293588994119816;-0.108857374613902;-0.0386154879878748;-0.0835700618362599;2
caceres;2.48393285965153;0.916787110497715;2.1613993192588;1.18096718841163;-0.302463520623885;-0.327787887136318;0.0200963626093504;0.511221776069702;2
sete lagoas;0.990892182878273;1.07687667105315;1.31687760988572;1.17252789400365;-0.0780948715304266;-0.287632944689284;0.0390716807455581;-2.18159303933867;2
pindamonhangaba;1.0084573673109;1.24481091061947;0.344880925512918;1.16915217624046;1.13700538482432;0.0426290638727025;0.278995456611181;-2.46919363874381;2
itapema;0.709849231956249;1.23958112461221;0.615765247387304;1.16802693698607;0.491076484475101;-0.0193684272049542;0.173808850262976;-1.86958544151677;2
teresopolis;1.9394121422401;1.01731521930385;1.91043296222812;1.16352597996848;-0.834204148168188;-0.0407580910078492;0.0980738917508634;0.498336747494716;2
sao goncalo do amarante;1.21923958050242;1.10622158142719;1.93035092707183;1.1567745444421;0.739603312235561;-0.532693795601269;-0.104720541239337;-1.36806455521296;2
boa vista;2.132629170999;1.30727779903946;1.70726972082233;1.14608477152533;0.268958310360794;-0.144804467675788;0.0466375067969033;-1.14817636598442;2
registro;1.16654402720454;0.919402003501343;0.711371478637088;1.14327167338934;0.585551117030692;0.618107534075917;-0.17395781649811;-2.23606950745941;2
guarapuava;3.01088839263032;1.12278257045017;1.77100720832219;1.13708285749016;0.0462037556858483;-0.0150806057616549;-0.209858083880432;0.320524448691322;2
tres rios;0.815240338552008;0.995814987940688;0.571945724731154;1.13539499860856;-1.44928845419236;-0.172132344545161;0.0944345703212023;-0.864088399212447;2
mafra;1.28950031823292;1.1158095224405;1.64751582629122;1.13314452009977;-0.682669035093173;-0.132238585209283;0.0679956638443325;0.524193017180026;2
vilhena;1.11384847390666;1.13701921013659;1.85466266066575;1.12864356308218;-0.251839851405242;-0.122803816627068;-0.206747283297769;-0.899884751794037;2
cambui;0.639588494225743;0.754954287939862;0.647633991137232;1.12639308457339;-1.44250707633335;-0.332329130935565;0.0754857238004519;-2.52863056018115;2
navegantes;1.39489142482868;1.03678164499752;1.84271188175953;1.10332567985825;0.128825157499322;-0.00676741389922098;0.143615263620245;-0.126931704347862;2
caratinga;0.586892940927864;0.957172680220411;1.90246577629064;1.10163782097666;-0.346971018853007;-0.18051937001834;-0.169575089530685;-0.410320845414165;2
simoes filho;0.428806281034225;1.26398679264607;0.217405950513206;1.09994996209506;1.01403532231337;-0.765937859595292;-0.33100073839854;-2.35251307414601;2
rio bonito;1.9394121422401;1.02370717997938;1.22127137863593;1.09151066768709;0.224138453525681;0.00575830852021462;0.0576737815580232;-1.51636144556767;2
sarandi;0.815240338552008;1.21837143691612;0.79901052394939;1.0886975695511;-0.00327184240592641;-0.0800604740653539;-0.0366754430938494;-1.50970672693883;2
castanhal;1.53541290028969;1.09024167973836;1.75507283644722;1.08588447141511;0.782742780123877;-0.47799657269294;-0.160589710607765;-2.01094195599147;2
apucarana;0.727414416388876;1.08675515573352;1.70328612785359;1.07857041626153;-0.229499463684221;0.166150556870021;-0.0355719838532439;-0.395884720416213;2
leopoldina;2.15019435543162;0.959497029556969;1.49613929347906;1.06788064334476;-1.2137062801616;-0.231872364354306;-0.0847627838011812;0.536429957930509;2
curvelo;4.02966908972266;0.97024714523855;2.77088904347617;1.06563016483597;0.383734634098915;-0.153433796405621;0.218974142867416;0.250521098026434;2
dourados;1.02602255174353;1.09430929107733;2.08172745988399;1.05662825080079;-0.0885439052657335;0.0924750483647678;0.174072807778865;-1.15354689669295;2
embu;1.37732624039606;0.996105531607758;1.18940263488601;1.0521272937832;0.809523812269207;0.275239671883087;0.0109826842153308;-2.4753936095379;2
eldorado do sul;1.02602255174353;1.17711423619221;1.24517293644838;1.04593847788402;0.730284949025966;-0.119461059274874;0.0176501972561601;-0.647973429942812;2
abreu e lima;0.218024067842707;1.09924853341752;0.544060573949967;1.04256276012083;0.922057580959536;-0.941907980815793;-0.3694643597445;-1.97592150699764;2
guapimirim;1.32463068709818;0.995814987940688;1.04200969504259;1.03581132459445;-0.142683965901467;-0.220435406675725;0.099725819579411;-0.428849923728918;2
sao goncalo do rio abaixo;2.65958470397779;0.915043848495297;2.26098914347733;1.01724487689691;-1.81692935521289;-0.478673803050964;-0.103131358664685;0.532819874731052;2
conselheiro lafaiete;1.9394121422401;0.987970308929805;1.60767989660381;1.00374200584415;-0.0327494414011927;-0.155907371267115;0.135962803674237;0.38029062677875;2
imbituba;1.13141365833928;0.767738209290932;1.34874635363564;0.97504840485703;0.28066528612589;0.185290494114096;0.0791061494927558;-1.29511128313873;2
