municipio;cluster;uf;pessoas;mortos;feridos_leves;feridos_graves;ilesos;feridos;freq
caicara do rio do vento;4;uf;297;21;86;33;138;119;134
caico;4;uf;1021;15;304;189;451;493;466
cajati;5;uf;9232;149;1598;360;6906;1958;6016
cajazeiras;3;uf;1190;68;324;193;519;517;592
cajueiro;4;uf;4;0;3;0;1;3;1
cajueiro da praia;4;uf;10;2;1;1;4;2;6
calcado;4;uf;75;6;21;8;36;29;36
calcoene;4;uf;116;14;31;21;42;52;40
caldas;3;uf;1147;49;348;149;568;497;617
caldas brandao;4;uf;498;14;92;66;289;158;238
caldeirao grande;4;uf;90;6;22;11;45;33;27
caldeirao grande do piaui;4;uf;1;0;0;0;1;0;1
california;4;uf;711;34;159;79;407;238;312
calumbi;4;uf;157;14;60;21;57;81;68
camacan;3;uf;1360;55;293;115;864;408;682
camacari;4;uf;2;0;1;0;1;1;2
camalau;4;uf;2;2;0;0;0;0;1
camamu;4;uf;26;3;6;2;13;8;15
camanducaia;3;uf;3081;43;829;205;1895;1034;1811
camapua;4;uf;752;33;237;90;371;327;351
camaqua;3;uf;2044;54;425;186;1307;611;1036
camaragibe;4;uf;2;0;0;0;2;0;2
cambara;4;uf;913;23;237;103;529;340;388
cambe;3;uf;4180;54;717;248;2997;965;1635
cambira;4;uf;465;15;146;53;238;199;212
camboriu;4;uf;42;0;20;2;19;22;22
cambui;5;uf;4558;76;1126;294;2901;1420;2770
cambuquira;4;uf;791;41;217;73;433;290;378
camocim;4;uf;5;0;2;0;3;2;1
campanario;3;uf;946;51;247;118;506;365;420
campanha;5;uf;3601;93;1229;297;1907;1526;1898
campestre;4;uf;452;8;137;50;244;187;209
campestre da serra;4;uf;871;23;230;71;532;301;477
campestre do maranhao;4;uf;476;27;111;72;231;183;215
campina da lagoa;4;uf;6;1;1;1;2;2;4
campina grande;5;uf;6197;160;1452;612;3671;2064;3068
campina grande do sul;1;uf;14340;156;3598;723;9530;4321;8655
campinas;4;uf;1;0;0;0;1;0;1
campinorte;3;uf;1791;70;383;213;1065;596;670
campo alegre;4;uf;295;21;66;37;152;103;112
campo alegre de goias;3;uf;1847;83;418;184;1122;602;717
campo bom;4;uf;4;0;2;0;2;2;1
campo bonito;4;uf;92;3;23;11;51;34;37
campo do tenente;4;uf;916;35;225;102;535;327;476
campo florido;4;uf;750;28;219;92;386;311;370
campo grande;1;uf;10013;296;2222;1098;5989;3320;4231
campo grande;1;uf;10013;296;2222;1098;5989;3320;4231
campo grande do piaui;4;uf;210;18;42;46;94;88;98
campo largo;5;uf;7744;105;1470;401;5345;1871;3392
campo maior;3;uf;1725;82;345;239;996;584;941
campo mourao;5;uf;4294;101;1044;505;2471;1549;1949
campo novo;4;uf;229;17;85;23;104;108;92
campo novo do parecis;4;uf;37;1;6;2;26;8;13
campo redondo;4;uf;367;23;88;54;187;142;162
campo verde;3;uf;2293;56;443;221;1529;664;1062
campos altos;3;uf;2637;83;796;219;1517;1015;1357
campos de julio;4;uf;66;5;16;11;32;27;30
campos dos goytacazes;1;uf;19919;631;5084;1337;12049;6421;8855
campos novos;5;uf;3554;120;965;316;2032;1281;1531
campos novos paulista;4;uf;146;6;18;8;109;26;74
canabrava do norte;4;uf;23;1;4;2;15;6;9
cananeia;4;uf;2;0;0;0;2;0;1
canapi;4;uf;446;13;101;67;245;168;190
canapolis;4;uf;706;24;179;65;425;244;400
canarana;4;uf;344;15;107;45;170;152;191
canas;4;uf;929;19;170;59;637;229;458
canavieira;4;uf;1;0;0;0;1;0;1
candeal;4;uf;97;14;35;11;33;46;33
candeias;5;uf;5324;103;1388;227;3349;1615;2499
candeias do jamari;3;uf;2184;85;571;184;1249;755;888
candido sales;4;uf;1043;47;192;69;693;261;438
candiota;4;uf;289;6;50;21;203;71;139
candoi;3;uf;2160;103;628;244;1131;872;962
canelinha;4;uf;6;0;2;0;4;2;3
canguaretama;4;uf;757;37;156;82;448;238;381
cangucu;3;uf;1299;56;315;104;779;419;652
caninde;3;uf;1376;62;363;204;683;567;584
canoas;1;uf;23395;104;2615;504;19617;3119;10576
canoinhas;4;uf;1012;13;309;86;565;395;458
canta;4;uf;859;43;304;86;343;390;317
cantagalo;4;uf;823;28;243;99;428;342;397
canudos;4;uf;534;44;157;47;269;204;213
canutama;4;uf;192;16;73;33;58;106;73
capanema;3;uf;1752;84;428;252;888;680;799
capanema;3;uf;1752;84;428;252;888;680;799
capao alto;3;uf;1822;54;443;151;1136;594;931
capao bonito do sul;4;uf;207;5;55;27;118;82;98
capao do leao;3;uf;2123;50;502;170;1317;672;1026
capela;3;uf;1211;45;223;95;791;318;466
capim;4;uf;4;0;1;1;1;2;3
capim branco;4;uf;97;0;26;14;55;40;52
capim grosso;3;uf;1263;49;261;154;710;415;489
capinzal do norte;4;uf;196;27;48;17;95;65;82
capitao de campos;4;uf;303;18;55;33;182;88;130
capitao leonidas marques;4;uf;995;34;215;69;640;284;409
capivari de baixo;3;uf;2016;18;565;146;1234;711;961
capivari do sul;4;uf;3;0;0;1;2;1;1
capixaba;4;uf;418;20;124;47;211;171;151
capoeiras;4;uf;5;0;1;1;3;2;3
caracarai;4;uf;398;43;88;47;141;135;117
caracol;4;uf;52;4;19;10;17;29;25
carai;3;uf;811;50;303;100;329;403;315
carandai;3;uf;2834;103;852;263;1522;1115;1306
carapebus;4;uf;477;21;100;38;303;138;221
caratinga;5;uf;5587;73;1630;609;3093;2239;2726
caraubas do piaui;4;uf;117;4;52;8;45;60;56
caravelas;3;uf;1318;64;286;179;741;465;515
carazinho;3;uf;3225;47;642;180;2296;822;1399
cardoso moreira;4;uf;793;37;282;61;402;343;415
careacu;3;uf;2204;52;738;140;1203;878;1199
careiro;4;uf;251;23;73;23;100;96;95
careiro da varzea;4;uf;256;7;54;15;165;69;97
cariacica;2;uf;28936;182;4060;2257;20983;6317;13508
caridade;4;uf;993;29;270;121;538;391;436
caridade do piaui;4;uf;1;0;0;0;1;0;1
carira;4;uf;271;30;66;64;68;130;117
cariri do tocantins;3;uf;986;52;252;138;512;390;441
carlos barbosa;4;uf;178;3;62;13;95;75;85
carmo;4;uf;110;1;20;7;79;27;44
carmo da cachoeira;5;uf;4564;53;1122;171;3131;1293;2919
carmo de minas;4;uf;343;8;126;47;158;173;146
carmopolis;4;uf;574;17;122;51;338;173;226
carmopolis de minas;3;uf;3163;68;750;168;2098;918;1738
caroebe;4;uf;2;1;1;0;0;1;1
carolina;4;uf;292;46;66;38;106;104;121
carpina;4;uf;773;27;166;81;453;247;323
caruaru;1;uf;10801;296;2226;869;6806;3095;4804
carvalhos;4;uf;69;1;33;5;27;38;45
casa nova;4;uf;3;0;1;0;2;1;2
