municipio;cluster;uf;pessoas;mortos;feridos_leves;feridos_graves;ilesos;feridos;freq
japira;4;uf;119;3;39;18;55;57;48
jaragua;3;uf;3134;110;680;427;1860;1107;1208
jaragua do sul;3;uf;3286;58;794;312;2038;1106;1483
jaraguari;3;uf;1896;53;354;147;1306;501;749
jardim;4;uf;1127;25;336;117;617;453;497
jardim do serido;4;uf;336;20;89;74;141;163;184
jaru;5;uf;4826;109;1326;458;2780;1784;2013
jatai;5;uf;6524;133;1636;473;4034;2109;3138
jataizinho;4;uf;769;12;192;90;439;282;354
jati;4;uf;280;24;72;39;132;111;122
jatoba;4;uf;212;20;68;38;77;106;84
jauru;4;uf;73;0;26;5;40;31;29
jenipapo dos vieiras;4;uf;24;4;4;0;10;4;11
jequia da praia;4;uf;471;14;112;61;259;173;240
jequie;5;uf;5422;197;1118;408;3512;1526;2083
jequitai;3;uf;1123;53;407;164;484;571;533
jeremoabo;3;uf;1182;62;281;138;608;419;478
jeronimo monteiro;4;uf;8;0;2;3;3;5;6
jerumenha;4;uf;191;15;48;29;86;77;85
ji-parana;5;uf;8212;93;2180;722;5024;2902;3585
jiquirica;4;uf;25;3;5;7;9;12;11
jitauna;4;uf;354;27;111;53;146;164;147
joacaba;3;uf;2240;46;561;154;1424;715;1015
joao camara;3;uf;683;56;153;124;296;277;323
joao costa;4;uf;13;2;7;3;1;10;2
joao monlevade;5;uf;6570;113;1870;616;3865;2486;3138
joao neiva;3;uf;2923;88;639;361;1692;1000;1370
joao pessoa;1;uf;23328;172;4633;1370;15818;6003;10302
joao pinheiro;5;uf;3742;117;1011;296;2203;1307;1629
joaquim felicio;3;uf;1321;74;431;177;610;608;501
joaquim gomes;3;uf;965;49;189;155;524;344;526
joaquim nabuco;4;uf;158;11;33;11;94;44;85
joca claudino;4;uf;2;2;0;0;0;0;2
joinville;1;uf;14412;140;3125;594;10096;3719;7206
jose bonifacio;3;uf;1410;40;451;86;779;537;688
jose da penha;4;uf;51;6;12;14;16;26;24
juarez tavora;4;uf;34;0;7;5;21;12;17
juatuba;5;uf;4328;120;1146;425;2515;1571;2375
juazeirinho;4;uf;430;28;109;63;190;172;181
juazeiro;3;uf;2881;84;555;245;1831;800;1150
jucati;4;uf;314;17;78;54;136;132;135
jucurutu;4;uf;141;23;28;23;56;51;60
juiz de fora;5;uf;7193;188;2355;680;3795;3035;3764
julio de castilhos;3;uf;1285;46;317;107;788;424;556
junco do maranhao;4;uf;68;12;21;12;20;33;17
junco do serido;4;uf;351;24;81;32;184;113;135
jundia;4;uf;1;0;0;0;1;0;1
junqueiro;3;uf;968;53;220;109;525;329;425
jupi;4;uf;687;49;171;108;307;279;298
juquia;3;uf;2854;58;592;140;1950;732;1637
juquitiba;5;uf;4718;166;868;384;3073;1252;2488
juranda;4;uf;497;17;168;47;248;215;183
juscimeira;3;uf;1796;34;342;133;1255;475;799
jussara;4;uf;688;44;233;77;315;310;294
jussari;4;uf;36;1;13;2;20;15;23
juti;4;uf;777;19;202;61;470;263;369
labrea;4;uf;29;3;0;5;1;5;3
ladario;4;uf;50;0;21;1;27;22;11
lafaiete coutinho;4;uf;5;0;0;1;3;1;3
lages;5;uf;8678;117;1975;500;5823;2475;3956
lago verde;4;uf;8;1;2;0;5;2;6
lagoa do piaui;4;uf;618;29;164;89;306;253;285
lagoa grande;3;uf;959;59;258;91;526;349;396
lagoa grande;3;uf;959;59;258;91;526;349;396
lagoa real;4;uf;1;0;1;0;0;1;1
lagoa seca;4;uf;831;30;192;111;439;303;361
lagoa vermelha;3;uf;1717;37;447;132;1031;579;799
lagoinha do piaui;4;uf;304;26;74;59;118;133;117
laguna;5;uf;6395;89;1485;414;4244;1899;2971
laje;4;uf;758;44;214;96;362;310;316
laje do muriae;4;uf;1;0;1;0;0;1;1
lajeado;3;uf;3720;57;804;271;2475;1075;1704
lajeado do bugre;4;uf;110;5;31;11;59;42;57
lajeado novo;4;uf;454;60;98;57;208;155;178
lajedinho;4;uf;223;23;75;23;95;98;72
lajedo;3;uf;850;57;158;132;427;290;353
lajes;4;uf;531;25;102;60;323;162;285
lajes pintadas;4;uf;76;2;33;12;26;45;38
lamarao;4;uf;77;4;12;2;56;14;35
lapa;3;uf;2918;104;746;308;1658;1054;1559
laranjal;4;uf;694;39;199;60;368;259;325
laranjal do jari;4;uf;57;3;12;11;25;23;20
laranjeiras;4;uf;1497;36;245;75;1059;320;680
laranjeiras do sul;3;uf;1981;71;572;166;1108;738;952
laurentino;4;uf;16;0;4;0;12;4;10
lauro de freitas;4;uf;1;0;0;0;1;0;1
lavras;3;uf;3742;35;959;123;2556;1082;2421
lavras da mangabeira;4;uf;106;11;27;14;44;41;40
lavrinhas;4;uf;1794;20;311;68;1344;379;1007
lencois;3;uf;1377;63;395;107;740;502;614
lencois paulista;4;uf;1;0;1;0;0;1;1
leopoldina;5;uf;5537;162;1726;507;3005;2233;2666
liberdade;4;uf;200;11;84;25;75;109;106
lima duarte;4;uf;756;40;261;117;307;378;372
limoeiro do norte;4;uf;313;23;73;43;154;116;143
lindoeste;4;uf;1008;17;210;62;690;272;454
linhares;1;uf;15834;198;3600;1319;10101;4919;7189
lins;4;uf;761;10;199;29;502;228;367
loanda;4;uf;44;2;17;2;23;19;20
londrina;5;uf;10487;75;1652;637;7648;2289;4071
lontras;3;uf;2020;39;551;143;1231;694;892
lorena;3;uf;3324;70;957;242;1863;1199;1623
loreto;4;uf;47;3;13;8;19;21;24
lucas do rio verde;3;uf;2311;63;442;148;1565;590;951
lucena;4;uf;1;0;0;0;1;0;1
luis correia;4;uf;341;23;88;47;163;135;167
luis eduardo magalhaes;3;uf;1615;135;486;128;821;614;560
luis gomes;4;uf;20;4;1;2;9;3;6
luislandia;4;uf;3;0;1;0;2;1;2
luiz alves;4;uf;12;0;1;0;11;1;6
luiziana;4;uf;218;9;44;43;115;87;104
lupercio;4;uf;5;0;4;0;1;4;1
luz;5;uf;3039;171;940;435;1450;1375;1400
luziania;5;uf;7854;294;2037;814;4200;2851;3342
luzinopolis;4;uf;50;4;22;3;15;25;21
macae;3;uf;3064;147;644;302;1849;946;1364
macaiba;5;uf;4956;111;882;515;3200;1397;2211
macambara;4;uf;5;1;2;0;2;2;4
macapa;5;uf;4353;55;1218;477;2404;1695;1632
macau;4;uf;159;18;54;20;60;74;64
maceio;1;uf;13172;105;2049;1447;8807;3496;5597
machado;4;uf;347;14;107;34;179;141;167
macurure;4;uf;134;11;28;12;65;40;54
madalena;4;uf;326;22;89;43;151;132;133
mae do rio;4;uf;601;52;122;63;311;185;265
mafra;5;uf;6098;113;1641;545;3628;2186;2782
mage;5;uf;8149;128;1762;409;5464;2171;3970
mairipora;5;uf;8830;134;1557;326;6429;1883;4425
major sales;4;uf;45;9;13;6;14;19;18
malhada dos bois;4;uf;271;1;37;14;211;51;128
mallet;4;uf;258;12;70;47;120;117;142
malta;4;uf;241;20;76;34;90;110;108
mamanguape;3;uf;2458;94;609;284;1354;893;1295
mambore;4;uf;711;29;255;57;350;312;248
manaus;3;uf;4031;79;832;272;2619;1104;1270
mandaguacu;3;uf;1482;27;443;114;845;557;669
mandaguari;3;uf;2254;20;611;163;1342;774;1067
mandirituba;5;uf;3341;132;801;331;1924;1132;1481
mangaratiba;5;uf;5671;154;1691;537;3178;2228;2309
mangueirinha;4;uf;1;0;0;1;0;1;1
manhuacu;1;uf;9477;234;2775;855;5293;3630;4538
manhumirim;4;uf;10;1;2;0;6;2;6
manicore;4;uf;24;3;0;3;18;3;11
manoel emidio;4;uf;30;2;4;2;19;6;15
manoel urbano;4;uf;47;3;15;9;20;24;14
manoel vitorino;4;uf;1016;45;229;72;621;301;455
mansidao;4;uf;7;2;2;1;2;3;2
maquine;4;uf;907;31;225;90;544;315;469
mara rosa;4;uf;602;49;141;86;313;227;226
maraba;1;uf;10980;284;2164;735;7132;2899;4649
maracacume;4;uf;62;8;13;5;32;18;29
maracaja;3;uf;1593;26;471;67;985;538;832
maracaju;3;uf;1009;38;311;129;507;440;454
maracanau;5;uf;4356;112;709;516;2744;1225;1934
maracas;4;uf;22;1;3;0;16;3;14
maranguape;4;uf;670;20;161;51;377;212;285
maranhaozinho;4;uf;43;6;5;4;25;9;19
marau;4;uf;412;43;83;25;238;108;202
maravilha;3;uf;1420;36;357;184;790;541;625
maravilha;3;uf;1420;36;357;184;790;541;625
marcelandia;4;uf;1;0;1;0;0;1;1
marcelino ramos;4;uf;251;7;57;16;160;73;116
marcelino vieira;4;uf;3;0;1;1;0;2;1
marcolandia;4;uf;298;32;56;55;141;111;176
marechal candido rondon;3;uf;1437;29;331;127;896;458;612
marechal deodoro;4;uf;210;6;73;23;97;96;100
marechal floriano;3;uf;3534;60;847;482;2038;1329;1713
marialva;3;uf;1805;46;504;159;1043;663;830
mariana pimentel;4;uf;26;0;3;3;20;6;8
maribondo;4;uf;417;25;94;51;211;145;169
marilandia;4;uf;1;0;0;0;1;0;1
marilandia do sul;4;uf;636;24;184;50;352;234;254
marilia;3;uf;1894;22;487;69;1247;556;994
maringa;1;uf;16125;114;3925;994;10362;4919;7256
mario campos;4;uf;2;0;0;0;2;0;1
maripa de minas;4;uf;349;10;114;34;176;148;169
marituba;5;uf;7679;100;1166;491;5527;1657;3282
marizopolis;4;uf;287;18;83;61;103;144;141
marmeleiro;4;uf;389;8;109;30;231;139;180
marques de souza;3;uf;1900;36;430;121;1275;551;844
marquinho;4;uf;86;5;38;8;34;46;47
martins;4;uf;1;0;1;0;0;1;1
martins soares;3;uf;981;39;316;135;461;451;457
maruim;3;uf;1925;63;312;103;1351;415;821
marumbi;4;uf;1;0;1;0;0;1;1
mascote;3;uf;1403;72;306;164;802;470;685
massaranduba;4;uf;230;8;71;18;126;89;137
mata;4;uf;28;1;8;4;14;12;18
mata grande;4;uf;10;2;3;1;1;4;6
mataraca;4;uf;185;5;46;15;107;61;114
matelandia;3;uf;3738;74;854;295;2344;1149;1551
mateus leme;4;uf;605;20;192;73;306;265;368
mathias lobato;4;uf;494;27;134;62;262;196;232
matias barbosa;4;uf;1305;21;377;89;774;466;726
matinha;4;uf;2;0;0;0;2;0;1
matinhos;4;uf;2;0;0;0;1;0;1
matipo;3;uf;1071;50;326;123;545;449;473
mato castelhano;4;uf;530;16;121;48;326;169;233
matoes;4;uf;17;3;2;3;8;5;7
matoes do norte;4;uf;369;26;83;40;197;123;195
matozinhos;4;uf;4;0;3;0;1;3;1
matriz de camaragibe;4;uf;3;0;0;0;2;0;2
matupa;4;uf;661;41;198;132;250;330;265
matupa;4;uf;661;41;198;132;250;330;265
maua;4;uf;1;0;1;0;0;1;1
maua da serra;3;uf;1548;31;428;140;905;568;857
maurilandia;4;uf;348;18;89;35;191;124;162
maxaranguape;4;uf;144;5;42;47;46;89;58
mazagao;4;uf;246;4;90;23;114;113;64
medianeira;3;uf;3959;77;1021;325;2361;1346;1724
medicilandia;4;uf;157;21;44;16;61;60;62
medina;3;uf;1240;95;385;143;583;528;612
mercedes;4;uf;471;11;106;34;297;140;204
mesquita;4;uf;1717;32;187;49;1346;236;720
messias;3;uf;1146;63;227;210;566;437;507
messias targino;4;uf;24;6;8;1;8;9;13
miguel alves;4;uf;2;1;0;0;0;0;1
miguel leao;4;uf;69;5;24;15;20;39;24
milagres;3;uf;2024;68;442;187;1230;629;799
milagres;3;uf;2024;68;442;187;1230;629;799
milha;4;uf;3;1;1;1;0;2;1
mimoso do sul;3;uf;2480;123;625;271;1377;896;1224
minador do negrao;4;uf;65;2;13;8;39;21;31
minas do leao;4;uf;660;11;127;57;455;184;224
mineiros;3;uf;1896;81;466;168;1125;634;832
miracatu;1;uf;12206;257;1653;810;8957;2463;6444
miracema do tocantins;4;uf;245;18;44;27;143;71;97
miradouro;3;uf;1049;48;385;88;503;473;520
miranda;3;uf;1631;53;460;167;927;627;685
miranda do norte;3;uf;815;60;154;113;433;267;356
mirandiba;4;uf;160;18;32;12;85;44;74
miranorte;4;uf;884;28;222;99;508;321;354
mirassol;4;uf;259;9;55;19;165;74;126
mirassol doeste;4;uf;152;7;48;18;76;66;71
moema;4;uf;459;16;132;51;255;183;249
mogeiro;4;uf;11;0;3;1;7;4;8
mogi das cruzes;4;uf;1;0;1;0;0;1;1
mojui dos campos;4;uf;3;0;3;0;0;3;1
moncao;4;uf;13;1;1;3;5;4;4
monsenhor gil;3;uf;753;57;148;104;415;252;355
monsenhor hipolito;4;uf;84;17;18;14;26;32;35
monsenhor paulo;4;uf;90;3;36;10;39;46;50
monte alegre de minas;5;uf;4571;93;1132;370;2893;1502;2357
monte alegre do piaui;4;uf;123;9;44;9;57;53;52
monte alegre dos campos;4;uf;131;1;48;12;68;60;63
monte carlo;4;uf;8;0;3;1;4;4;4
monte carmelo;3;uf;934;51;304;67;488;371;362
monte castelo;3;uf;1742;53;403;205;1031;608;876
monte negro;4;uf;76;5;32;13;24;45;38
monteiro;4;uf;205;41;46;38;68;84;82
montenegro;3;uf;1868;41;423;146;1212;569;989
montes altos;4;uf;1;0;0;0;1;0;1
montes claros;5;uf;5731;174;1831;676;2901;2507;2499
montes claros de goias;4;uf;466;44;118;81;210;199;168
morada nova;4;uf;493;21;89;85;281;174;197
moreno;3;uf;2548;55;593;195;1510;788;1271
mormaco;4;uf;227;2;51;12;157;63;99
morpara;4;uf;2;0;0;0;2;0;1
morretes;5;uf;6164;100;1291;367;4216;1658;3273
morrinhos;3;uf;3376;89;924;222;2028;1146;1650
morrinhos;3;uf;3376;89;924;222;2028;1146;1650
morro da fumaca;4;uf;10;0;1;1;7;2;5
morro da garca;4;uf;3;0;1;0;2;1;1
morro redondo;4;uf;384;12;87;25;251;112;231
morro reuter;4;uf;653;13;155;61;419;216;298
morros;4;uf;87;13;22;16;27;38;31
mossoro;1;uf;12435;289;3389;1157;6604;4546;5721
mostardas;4;uf;57;0;29;8;18;37;23
mucajai;4;uf;197;20;41;24;102;65;60
mucuri;3;uf;2146;95;408;218;1353;626;830
muitos capoes;4;uf;870;23;254;69;502;323;486
muliterno;4;uf;40;3;12;3;21;15;24
mundo novo;3;uf;2712;35;391;91;2105;482;1152
mundo novo;3;uf;2712;35;391;91;2105;482;1152
muniz freire;4;uf;314;9;82;47;161;129;176
muquem de sao francisco;4;uf;156;5;63;10;75;73;64
muquem do sao francisco;3;uf;1067;72;277;77;588;354;395
muqui;4;uf;274;19;99;61;83;160;147
muriae;5;uf;7770;140;2535;586;4255;3121;3665
muribeca;4;uf;274;12;73;17;157;90;123
murici;4;uf;773;40;190;168;331;358;353
muritiba;4;uf;382;19;85;26;227;111;165
mutuipe;4;uf;82;7;26;19;23;45;36
muzambinho;4;uf;180;2;60;32;81;92;74
naque;4;uf;645;20;132;54;420;186;290
natal;1;uf;22306;138;2546;1063;17518;3609;10065
natividade;4;uf;1;0;1;0;0;1;1
navegantes;5;uf;5924;119;1467;594;3530;2061;2729
navirai;4;uf;945;22;243;41;600;284;487
nazare;4;uf;109;6;30;16;49;46;49
nazare;4;uf;109;6;30;16;49;46;49
nazare da mata;4;uf;404;31;93;63;177;156;162
nazare do piaui;4;uf;181;18;41;33;78;74;96
nepomuceno;4;uf;491;9;112;14;348;126;331
nilopolis;4;uf;2;0;0;0;2;0;1
nioaque;4;uf;536;23;148;73;271;221;258
niquelandia;4;uf;317;42;108;57;94;165;129
nisia floresta;4;uf;18;0;4;1;12;5;8
niteroi;1;uf;18442;56;1974;251;15572;2225;8044
nobres;3;uf;2024;52;362;89;1488;451;987
normandia;4;uf;9;0;4;0;3;4;3
nossa senhora de lourdes;4;uf;1;0;1;0;0;1;1
nossa senhora de nazare;4;uf;1;0;0;0;1;0;1
nossa senhora do livramento;3;uf;876;45;272;113;426;385;368
nossa senhora do socorro;5;uf;7537;122;1672;446;4903;2118;3494
nova alvorada do sul;5;uf;4404;174;860;321;2924;1181;1925
nova andradina;4;uf;1220;36;213;99;833;312;578
nova aurora;4;uf;8;0;2;4;2;6;3
nova brasilandia;4;uf;8;0;4;0;4;4;3
nova era;5;uf;3874;93;1158;431;2132;1589;1822
nova erechim;4;uf;1063;37;304;107;593;411;449
nova esperanca;4;uf;1188;27;313;140;658;453;530
nova fatima;4;uf;718;34;126;52;468;178;202
nova floresta;4;uf;25;6;4;7;5;11;10
nova friburgo;4;uf;1;0;0;0;1;0;1
nova gloria;3;uf;911;65;197;144;479;341;361
nova granada;3;uf;1487;42;356;99;940;455;720
nova iguacu;1;uf;17394;242;2493;594;12672;3087;7496
nova itaberaba;4;uf;869;10;238;59;552;297;403
nova itarana;3;uf;1345;83;197;73;945;270;561
nova lacerda;4;uf;405;41;85;38;231;123;197
nova laranjeiras;3;uf;1633;86;404;137;950;541;854
nova lima;5;uf;6878;137;1611;743;4149;2354;3198
nova londrina;4;uf;275;8;77;34;146;111;116
nova mamore;4;uf;31;5;10;5;8;15;11
nova marilandia;4;uf;4;0;2;0;1;2;3
nova maringa;4;uf;6;0;3;1;2;4;2
nova mutum;3;uf;3527;127;864;216;2246;1080;1701
nova olinda;3;uf;1270;81;256;131;769;387;517
nova olinda do maranhao;4;uf;248;25;64;36;109;100;132
nova petropolis;4;uf;1225;8;248;50;892;298;664
nova ponte;4;uf;192;6;93;31;60;124;106
nova prata;4;uf;347;3;134;23;168;157;128
nova rosalandia;4;uf;346;17;76;52;189;128;124
nova santa helena;4;uf;473;12;119;27;307;146;211
nova santa rita;3;uf;2444;40;462;136;1749;598;1158
nova santa rita;3;uf;2444;40;462;136;1749;598;1158
nova santa rosa;4;uf;2;0;0;0;2;0;1
nova serrana;5;uf;3927;124;1176;506;1989;1682;1808
nova serrana;5;uf;3927;124;1176;506;1989;1682;1808
nova soure;4;uf;282;10;77;48;124;125;104
nova timboteua;4;uf;57;8;4;12;31;16;23
nova uniao;3;uf;2584;66;529;283;1654;812;1094
nova vicosa;3;uf;2684;105;593;317;1563;910;1137
nova xavantina;4;uf;560;40;158;84;254;242;247
novo cabrais;4;uf;57;3;23;7;23;30;26
novo hamburgo;3;uf;5263;67;800;174;4093;974;2403
novo lino;4;uf;747;46;124;124;414;248;369
novo progresso;4;uf;38;2;12;7;16;19;15
novo repartimento;4;uf;222;22;72;28;95;100;81
novo santo antonio;4;uf;4;0;0;0;4;0;2
ocara;4;uf;282;10;43;30;189;73;123
ocaucu;4;uf;819;18;221;42;508;263;423
oeiras;3;uf;549;86;149;103;167;252;221
oiapoque;4;uf;316;6;92;31;172;123;108
olaria;4;uf;144;11;56;11;65;67;86
olho dagua;4;uf;157;16;42;20;66;62;70
olho dagua das cunhas;4;uf;110;22;20;13;44;33;57
olho dagua do piaui;4;uf;35;0;7;7;19;14;16
olinda;4;uf;2;0;0;0;2;0;1
olindina;4;uf;304;30;79;39;128;118;116
oliveira;5;uf;4065;92;1237;207;2453;1444;2286
oliveira de fatima;4;uf;135;10;36;21;67;57;54
oliveira dos brejinhos;4;uf;870;50;275;43;474;318;339
oliveira fortes;4;uf;1442;16;427;75;902;502;885
onda verde;4;uf;1053;14;255;75;672;330;501
orizania;4;uf;593;43;167;81;285;248;279
oroco;4;uf;290;28;75;23;144;98;115
ortigueira;5;uf;3413;114;924;368;1902;1292;1701
osasco;4;uf;3;0;1;0;1;1;2
osorio;3;uf;2866;32;741;181;1851;922;1492
otacilio costa;4;uf;8;0;2;0;6;2;5
ourem;4;uf;33;1;9;12;8;21;10
ouricuri;3;uf;1147;76;290;170;513;460;551
ourinhos;4;uf;538;11;115;35;362;150;282
ouro branco;4;uf;267;16;64;39;138;103;96
ouro preto;3;uf;2012;32;361;139;1425;500;926
ouro preto do oeste;3;uf;2404;84;596;258;1391;854;1003
pacaja;4;uf;84;6;12;8;49;20;40
pacajus;3;uf;1552;59;289;169;959;458;629
pacaraima;4;uf;284;27;62;35;137;97;101
pacatuba;4;uf;2;0;0;0;2;0;1
padre bernardo;3;uf;865;113;271;137;288;408;356
padre carvalho;4;uf;516;57;133;80;231;213;230
padre paraiso;3;uf;972;54;339;120;427;459;426
palestina;4;uf;2;0;1;0;1;1;1
palestina do para;4;uf;30;5;9;0;14;9;18
palhano;4;uf;17;1;3;2;9;5;12
palhoca;2;uf;28018;229;6486;1926;18441;8412;13075
palmares;4;uf;802;52;172;99;423;271;349
palmares do sul;4;uf;62;3;22;6;28;28;27
palmas;4;uf;7;0;0;2;5;2;3
palmas;4;uf;7;0;0;2;5;2;3
palmas de monte alto;4;uf;2;0;0;1;1;1;1
palmeira;5;uf;3201;136;851;321;1789;1172;1441
palmeira das missoes;4;uf;1103;34;335;69;648;404;506
palmeira dos indios;3;uf;1188;41;331;157;574;488;490
palmeirais;4;uf;2;0;1;1;0;2;1
palmeirante;4;uf;3;0;0;1;2;1;1
palmeiras;4;uf;872;39;246;56;513;302;374
palmeiras do tocantins;4;uf;669;19;158;70;408;228;307
palmital;4;uf;61;10;17;11;22;28;32
palmitos;4;uf;399;8;105;30;250;135;207
panama;4;uf;340;4;104;35;192;139;193
panambi;3;uf;1896;57;476;124;1192;600;815
panelas;4;uf;456;68;113;57;183;170;224
pantano grande;4;uf;1550;19;293;104;1101;397;653
papanduva;3;uf;1110;53;338;123;555;461;489
para de minas;3;uf;2096;51;642;209;1142;851;1028
paracambi;4;uf;731;23;118;19;543;137;435
paracatu;5;uf;5232;107;1471;361;3100;1832;2115
paragominas;4;uf;754;52;203;96;357;299;346
paraiba do sul;3;uf;1739;35;229;124;1284;353;845
paraibano;4;uf;83;12;16;14;34;30;50
paraiso;4;uf;118;2;40;25;44;65;47
paraiso das aguas;4;uf;88;4;40;20;24;60;33
paraiso do sul;4;uf;5;0;1;1;3;2;2
paraiso do tocantins;3;uf;1475;58;339;180;858;519;616
parambu;4;uf;49;11;13;4;19;17;28
parana;4;uf;1;0;0;0;1;0;1
paranagua;5;uf;7938;142;1767;564;5104;2331;3998
paranaiba;3;uf;2179;79;519;269;1247;788;1027
paranaiguara;4;uf;304;8;98;28;164;126;143
paranatama;4;uf;359;38;78;57;159;135;138
paranavai;3;uf;1414;49;428;136;741;564;627
paraopeba;3;uf;2423;63;662;256;1356;918;1172
parati;3;uf;2582;57;597;219;1630;816;1171
paraty;4;uf;291;6;102;33;141;135;120
parau;4;uf;2;0;0;0;1;0;1
pariconha;4;uf;68;6;10;8;42;18;24
pariquera-acu;4;uf;1007;23;222;60;659;282;588
parnaiba;5;uf;3722;99;998;493;1912;1491;1710
parnamirim;1;uf;12675;167;2112;744;8985;2856;5746
parnamirim;1;uf;12675;167;2112;744;8985;2856;5746
passa quatro;4;uf;2;0;0;0;2;0;2
passagem franca do piaui;4;uf;261;15;53;33;144;86;136
passo de torres;4;uf;397;6;116;25;240;141;226
passo fundo;3;uf;4222;55;771;209;3066;980;1994
passos maia;4;uf;2;1;0;0;1;0;1
pastos bons;4;uf;143;16;42;28;50;70;64
pato branco;3;uf;2730;32;666;190;1732;856;1196
patos;3;uf;1557;67;444;230;725;674;697
patos de minas;3;uf;3028;102;915;205;1717;1120;1407
patos do piaui;4;uf;102;7;28;19;42;47;58
patrocinio;3;uf;2730;92;824;171;1525;995;1182
patrocinio do muriae;4;uf;235;7;75;18;131;93;114
patu;4;uf;71;11;24;13;18;37;30
pau darco;4;uf;15;1;8;3;2;11;7
pau dos ferros;4;uf;399;27;88;77;162;165;181
paudalho;3;uf;2046;98;426;230;1132;656;857
paula freitas;4;uf;520;25;130;51;294;181;234
pauliceia;4;uf;50;0;18;0;31;18;7
paulista;3;uf;3229;69;582;222;2138;804;1484
paulista;3;uf;3229;69;582;222;2138;804;1484
paulistana;4;uf;95;21;21;14;33;35;48
paulo afonso;4;uf;1097;34;240;134;652;374;480
paulo frontin;4;uf;844;40;213;63;501;276;447
paulo lopes;3;uf;2624;54;679;251;1582;930;1385
paverama;4;uf;306;3;80;9;205;89;144
peabiru;4;uf;669;20;156;79;395;235;284
pedra;4;uf;394;29;90;99;152;189;162
pedra azul;4;uf;230;17;76;27;106;103;120
pedra branca;4;uf;115;15;26;13;58;39;55
pedra branca do amapari;4;uf;129;5;67;9;40;76;30
pedra preta;3;uf;2607;81;433;174;1873;607;1314
pedrao;4;uf;21;1;10;0;8;10;10
pedras de fogo;4;uf;30;1;10;2;16;12;14
pedreiras;4;uf;1;0;0;0;1;0;1
pedrinopolis;4;uf;65;6;19;16;22;35;24
pedro afonso;4;uf;6;0;1;2;2;3;3
pedro alexandre;4;uf;18;5;3;1;8;4;8
pedro avelino;4;uf;14;2;4;1;7;5;7
pedro canario;3;uf;1141;50;330;142;572;472;587
pedro gomes;4;uf;588;20;134;50;371;184;212
pedro ii;4;uf;227;26;48;37;91;85;113
pedro leopoldo;4;uf;8;1;1;1;5;2;3
pedro osorio;4;uf;559;24;156;50;320;206;234
peixe;4;uf;372;31;116;61;154;177;191
peixe-boi;4;uf;38;8;6;3;20;9;13
peixoto de azevedo;4;uf;473;29;124;66;232;190;191
peixoto de azevedo;4;uf;473;29;124;66;232;190;191
pejucara;4;uf;401;14;66;22;289;88;177
pelotas;5;uf;7149;122;1283;359;5184;1642;3377
penaforte;4;uf;227;22;30;21;140;51;102
penha;3;uf;2117;38;490;168;1361;658;1080
perdizes;4;uf;1125;32;303;117;647;420;575
perdoes;3;uf;3226;62;812;158;2120;970;1817
pereiro;4;uf;17;2;6;1;7;7;8
periquito;3;uf;1053;77;295;152;517;447;470
peritoro;3;uf;1188;88;231;157;650;388;553
perola doeste;4;uf;343;12;102;36;180;138;160
pescaria brava;4;uf;310;5;114;25;153;139;152
pesqueira;3;uf;1477;111;338;250;704;588;547
petrolandia;4;uf;520;40;118;92;198;210;175
petrolina;1;uf;11316;240;2326;1020;7032;3346;4991
petropolis;1;uf;15026;199;2990;722;10686;3712;8658
pianco;4;uf;331;33;67;51;105;118;108
picada cafe;4;uf;908;19;262;73;545;335;509
picarras;3;uf;1828;42;366;152;1204;518;933
picos;5;uf;4354;176;921;662;2281;1583;2010
piedade de caratinga;4;uf;233;6;77;45;99;122;127
pilar;3;uf;3341;100;808;366;1855;1174;1657
pimenta bueno;5;uf;4147;93;1191;360;2357;1551;1975
pindamonhangaba;5;uf;6456;97;1200;218;4513;1418;2846
pindare mirim;4;uf;65;4;16;13;30;29;29
pindare-mirim;4;uf;28;4;10;0;10;10;12
pindoba;4;uf;1;0;0;0;1;0;1
pinhais;4;uf;19;0;5;0;14;5;10
pinhalzinho;3;uf;1618;53;413;204;902;617;752
pinheiral;4;uf;51;1;19;3;26;22;23
pinheiro machado;4;uf;473;14;121;34;296;155;242
pinheiros;4;uf;137;11;31;25;64;56;60
pio ix;4;uf;82;12;31;11;22;42;26
pio xii;4;uf;332;39;91;47;134;138;151
piquete;4;uf;1047;14;320;101;582;421;558
piracanjuba;3;uf;1370;36;371;118;819;489;688
piracuruca;4;uf;414;33;117;49;199;166;181
pirai;5;uf;11747;131;1539;300;9403;1839;6895
piranguinho;4;uf;725;27;233;102;344;335;338
piranhas;4;uf;283;21;70;39;140;109;148
pirapora;3;uf;941;48;353;146;361;499;451
piraquara;4;uf;1271;30;347;88;754;435;713
piraque;4;uf;29;1;7;5;16;12;20
piratini;4;uf;575;14;111;50;392;161;330
pirenopolis;3;uf;938;47;263;118;467;381;395
piripiri;3;uf;1368;68;352;168;712;520;706
piuma;4;uf;5;0;2;0;3;2;2
placas;4;uf;11;0;2;0;6;2;5
placido de castro;4;uf;168;10;35;16;102;51;77
planaltina;4;uf;4;0;1;1;2;2;3
planalto;3;uf;1789;72;418;163;1062;581;740
planalto;3;uf;1789;72;418;163;1062;581;740
planura;4;uf;807;20;202;116;448;318;324
pocinhos;4;uf;752;28;204;70;410;274;324
poco branco;4;uf;139;17;30;14;71;44;65
poco dantas;4;uf;5;1;0;2;1;2;3
poco das trincheiras;4;uf;192;12;44;33;80;77;62
